Unit          Routines                     Description
*             TeX_SetOyScale               Sets the scale on the Oy axis
*             TeX_SetGraphTitle            Sets the graph title
*             TeX_SetOxTitle               Sets the title for the Ox axis
*             TeX_SetOyTitle               Sets the title for the Oy axis
*             TeX_PlotOxAxis               Plots the Ox axis
*             TeX_PlotOyAxis               Plots the Oy axis
*             TeX_WriteGraphTitle          Writes title of graph
*             TeX_PlotGrid                 Plots a grid on the graph
*             TeX_SetMaxCurv               Sets maximum number of curves
*             TeX_SetPointParam            Sets point parameters
*             TeX_SetLineParam             Sets line parameters
*             TeX_SetCurvLegend            Sets curve legend
*             TeX_SetCurvStep              Sets curve step
*             TeX_PlotCurve                Plots a curve
*             TeX_PlotCurveWithErrorBars   Plots a curve with error bars
*             TeX_PlotFunc                 Plots a function
*             TeX_WriteLegend              Writes legends for all curves
*             TeX_WriteLegendSelect        Writes legends for selected curves
*             TeX_ConRec                   Contour plot
*             Xcm                          Converts user abscissa X to screen coordinate
*             Ycm                          Converts user ordinate Y to screen coordinate
*             TeX_LeaveGraphics            Quits the graphic mode
uhsvrgb       HSVtoRGB                     Converts HSV to RGB
*             RGBtoHSV                     Converts RGB to HSV
ueval         InitEval                     Initializes the built-in functions
*             Eval                         Evaluates an expression
*             SetVariable                  Defines a variable
*             SetFunction                  Adds a function

